Base License Number,Base Name,DBA,Year,Month,Month Name,Date,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles,,
B01364,NY ATLIXCO CAR SERVICE INC,,2018,8,August,August-2018,2361,0,18,,
B01145,ULTRA RADIO DISP INC,,2017,4,April,April-2017,23092,0,115,,
B01667,"NEW GOLDEN HORSE C/L SVC,INC.",,2018,12,December,December-2018,30076,0,162,,
B02719,"49 WESTCHESTER SQUARE PRESTIGE CAR SERVICE, CORP.",,2020,10,October,October-2020,2631,0,19,,
B02342,"QUEST INTERNATIONAL LIMOUSINE, INC.",,2021,7,July,July-2021,86,0,9,,
B00346,MERRICK C/S INC,,2019,9,September,September-2019,797,0,4,,
B01679,OLLIE'S TRANSPORTATION SERVICE,OLLIE'S AIRPORT SERVICE,2015,4,April,April-2015,1547,0,13,,
B02956,W.K.EXPRESS LIMO SERVICE INC,,2018,11,November,November-2018,33,0,11,,
B01280,BENSONHURST RIDE INC.,,2019,5,May,May-2019,3091,0,17,,
B01653,ART'S PLACE INC.,ON TIME CAR SERVICE,2016,3,March,March-2016,3002,0,14,,
B02848,V R WORLDWIDE INC,,2017,8,August,August-2017,16,0,2,,
B02664,CORPORATE CAR LTD.,,2017,9,September,September-2017,142,0,33,,
B02917,C & A BLACK CAR CORP.,,2017,2,February,February-2017,65,0,27,,
B01079,THE METRO MARINE CAR SERVICE INC,MARINE LIMO & CAR SERVICE,2018,9,September,September-2018,3658,0,9,,
B00821,ATLANTIC CAR SVCE,,2018,9,September,September-2018,18076,3,82,,
B01963,AFRO CAR SERVICE CORP,,2015,10,October,October-2015,1395,0,17,,
B02783,"PREFERRED CARE TRANSPORTATION SERVICE,INC",,2020,1,January,January-2020,2927,0,21,,
B01479,PRATT CAR SERVICE INC,,2017,11,November,November-2017,959,0,6,,
B02971,"ULTRA BLACK CAR TRANSPORTATION, CORP.",,2018,2,February,February-2018,273,0,20,,
B02537,ALLTOWN LIMO CORP.,,2019,5,May,May-2019,11440,0,109,,
B00037,TRANSP UNLIMITED C/S,,2021,7,July,July-2021,5302,0,19,,
B02856,MARIACHI CAR SERVICE INC,,2016,8,August,August-2016,1896,0,10,,
B01639,HIGH CLASS LIMO CAR SVCE CORP,,2020,3,March,March-2020,4236,0,70,,
B02783,"PREFERRED CARE TRANSPORTATION SERVICE,INC",,2021,7,July,July-2021,1006,0,9,,
B01913,MIRAGE LIMOUSINE SERVICE INC,,2017,1,January,January-2017,912,0,29,,
B03017,SDR TRANSPORTATION CORP.,,2021,9,September,September-2021,4863,0,27,,
B03286,"MITA LIMOUSINE, INC.",,2021,12,December,December-2021,137,0,9,,
B02217,PCS LIMOUSINE INC.,,2020,6,June,June-2020,31,0,2,,
B02127,"CONTINENTAL RIDE, INC.",I + I TRANSPORTATION,2022,3,March,March-2022,32,0,4,,
B00021,MEXICANA HIGH CLASS INC.,CAPITAL CAR SERVICE,2021,3,March,March-2021,4918,0,46,,
B01048,HILLSIDE 24 HOURS RADIO DISPATCH INC,,2018,4,April,April-2018,1438,0,6,,
B00387,FORTUNE LIMOUSINES INC,,2018,8,August,August-2018,295,0,9,,
B00281,"VEE CEE LIMOUSINE SERVICE, INC",NOSTRAND CAR SVCE,2018,8,August,August-2018,1084,0,7,,
B02096,"CET GROUP, INC",,2019,5,May,May-2019,666,0,92,,
B00821,ATLANTIC CAR SVCE,,2019,5,May,May-2019,19715,0,95,,
B02760,VISMAR RADIO DISPATCH INC.,,2020,12,December,December-2020,10,0,3,,
B01875,ON LINE LIMOUSINE LLC,,2017,10,October,October-2017,2774,0,47,,
B00459,910 CAR SERVICE INC,,2016,3,March,March-2016,11204,0,50,,
B00536,"WINTHROP HOLDING OF NEW YORK, INC",,2020,12,December,December-2020,531,0,20,,
B00556,SURREY CADILLAC LIMO SVC INC,,2018,9,September,September-2018,616,0,18,,
B00183,KEW GARDEN OPERATING CORP,,2017,1,January,January-2017,1602,0,22,,
B02003,"AVALON CORPORATE CAR,INC.",,2021,7,July,July-2021,1702,0,218,,
B02661,MIC-LOU CAR SERVICES_LLC,LULU CAR SERVICES,2022,1,January,January-2022,1137,0,9,,
B01875,ON LINE LIMOUSINE LLC,,2018,5,May,May-2018,1725,0,39,,
B01009,UNITED LIMO C/M SVC CORP,,2019,5,May,May-2019,493,0,8,,
B02661,MIC-LOU CAR SERVICES_LLC,LULU CAR SERVICES,2021,5,May,May-2021,1541,0,10,,
B02339,SEDANZ INC.,,2019,6,June,June-2019,102,0,7,,
B02182,"FINEST CAR SERVICE, LLC",,2017,8,August,August-2017,6417,0,46,,
B02144,"SILVER STAR LIMOUSINES, INC.",,2021,8,August,August-2021,66,0,1,,
B00811,LLAMA LIMO C/S CORP,METROGREEN CAR SERVICE,2018,1,January,January-2018,1924,0,39,,
B01875,ON LINE LIMOUSINE LLC,,2017,8,August,August-2017,3129,0,54,,
B01091,A & R GOLDEN EXP INC,,2021,4,April,April-2021,2296,0,5,,
B02661,MIC-LOU CAR SERVICES_LLC,LULU CAR SERVICES,2016,12,December,December-2016,2023,0,5,,
B00381,BELL RADIO INC,,2017,3,March,March-2017,5926,0,115,,
B02243,BARONAS LUXURY II INC,,2021,12,December,December-2021,16701,0,202,,
B03299,WHITE TOP CAR SVCE INC,,2022,1,January,January-2022,5527,0,40,,
B02148,MAVRIK TRANS INC.,,2015,10,October,October-2015,859,0,42,,
B02841,"SKYWAY EXECUTIVE SERVICE, INC",,2019,5,May,May-2019,217,0,3,,
B01432,TOVAR TRANSPORTATION INC,,2020,1,January,January-2020,2400,0,10,,
B03072,CONVENIENCE RIDE TRANSPORTATION SERVICES INC.,,2018,3,March,March-2018,137,0,6,,
B02849,BROOKLYN RIDES CORP,,2018,10,October,October-2018,17770,0,123,,
B01738,SAETA CAR SERVICE INC.,,2016,8,August,August-2016,2474,0,14,,
B00706,"VIC & BAY CAR SERVICE, INC",DEJOY'S RED TOP,2018,1,January,January-2018,11932,0,26,,
B01479,PRATT CAR SERVICE INC,,2019,10,October,October-2019,361,0,2,,
B00821,ATLANTIC CAR SVCE,,2021,1,January,January-2021,12961,0,92,,
B01328,DV LUXURY CAR SERVICE INC,RIDE SAFE CAR SERVICE,2019,8,August,August-2019,4411,0,59,,
B01196,DIPLO RAD DISP INC,,2018,6,June,June-2018,10414,0,71,,
B00225,DELANCEY TRANSPORTATION INC.,,2020,9,September,September-2020,7392,0,69,,
B00412,NYC 2 WAY INTERNATIONAL LTD,,2020,11,November,November-2020,6553,0,100,,
B03020,5J TRANSPORTATION INC.,,2020,2,February,February-2020,1094,0,10,,
B01061,DAT RADIO DISP INC,,2021,11,November,November-2021,10624,0,55,,
B01413,SFL INC,,2017,8,August,August-2017,1119,0,38,,
B01346,ARECIBO C/S INC,,2017,8,August,August-2017,19456,0,156,,
B02590,LUXOR LIMO INC,,2016,5,May,May-2016,1885,0,34,,
B02629,CARLUX LIMO INC.,,2019,9,September,September-2019,303,0,19,,
B02924,CELEBRITY LUXURY INC.,,2019,12,December,December-2019,68,0,19,,
B01717,HIGH CLASS BRONX LIMO C/S CORP,,2017,3,March,March-2017,46249,0,319,,
B01239,BEST DEAL PVT C/S INC,BEST DEAL DOMINICAN C/S INC,2015,11,November,November-2015,23806,0,146,,
B00932,NATASHAS GRP CAR CORP,,2017,3,March,March-2017,4848,0,26,,
B00009,T-D MAINTENANCE,FOUR ONES CAR SERVICE,2021,4,April,April-2021,1147,0,19,,
b00855,MAGNIFICENT 7'S ENTP INC,,2016,5,May,May-2016,246,0,7,,
b01057,NEW AMERICAN C/L SVC,,2016,5,May,May-2016,1399,0,11,,
B00653,ROYAL CAR & LIMO SERVICE INC.,,2018,3,March,March-2018,686,0,8,,
B01970,GRAFE STREET SERVICE CORP.,,2015,7,July,July-2015,293,0,12,,
B01509,"BRUNWISH ENTERPRISES,LTD.",EASTLAND CAR SERVICE,2015,10,October,October-2015,24189,0,94,,
B03051,VILLE DE LA LIBERTE CHAUFFEUR INC,,2017,9,September,September-2017,1241,0,5,,
B03062,BQN VOUCHER INC,,2021,4,April,April-2021,1338,0,10,,
B02760,VISMAR RADIO DISPATCH INC.,,2020,10,October,October-2020,17,0,3,,
B00272,BIG APPLE CAR INC,,2018,2,February,February-2018,2893,0,111,,
B02228,SPECIAL RADIO DISP.CORP.,,2019,12,December,December-2019,20,0,5,,
